,friend_out
0,76561197960869361
1,76561197960869554
2,76561197961886330
3,76561197963531856
4,76561197963593716
5,76561197963596452
6,76561197963600137
7,76561197967434927
8,76561197972100809
9,76561197972760387
10,76561197974251928
11,76561197974553664
12,76561197978431979
13,76561197979975870
14,76561197982933050
15,76561197988703222
16,76561197993298262
17,76561197993699405
18,76561197994926311
19,76561197996410123
20,76561198001016141
21,76561198034070553
22,76561198034220351
23,76561198046557146
24,76561198055889269
25,76561198081625062
26,76561198132555164
27,76561198154821414
28,76561198260149770
29,76561198318521649
30,76561197963927896
31,76561197966906463
32,76561197971153023
33,76561197972350193
34,76561197972390981
35,76561197974553664
36,76561197977306406
37,76561197989056850
38,76561197994459659
39,76561197994547348
40,76561198001603603
41,76561198003994596
42,76561198005183670
43,76561198017491349
44,76561198021347350
45,76561198027317658
46,76561198057490360
47,76561197960535916
48,76561197962596461
49,76561197966468076
50,76561197967491173
51,76561197967594692
52,76561197969279792
53,76561197970497093
54,76561197972384491
55,76561197974553664
56,76561197978413983
57,76561197980050941
58,76561197988801904
59,76561197992252181
60,76561197994585936
61,76561197997115692
62,76561197998961605
63,76561198013953014
64,76561198014932910
65,76561198035204727
66,76561198043148198
67,76561198043621528
68,76561198051567293
69,76561198062618389
70,76561198064271407
71,76561198069506305
72,76561198103384304
73,76561198112059440
74,76561198114015964
75,76561198121206482
76,76561198122221274
77,76561198138844019
78,76561198172823057
79,76561198192832889
80,76561198199673228
81,76561198220796752
82,76561198333465813
83,76561197960272147
84,76561197960428356
85,76561197960766600
86,76561197960812765
87,76561197960869554
88,76561197960888695
89,76561197963033960
90,76561197963876634
91,76561197964526556
92,76561197967689119
93,76561197970150069
94,76561197973684086
95,76561197974553664
96,76561197975666400
97,76561197976386346
98,76561197977716957
99,76561197979562640
100,76561197979975870
101,76561197982715839
102,76561197982933050
103,76561197984323864
104,76561197988168617
105,76561197990728634
106,76561197990791468
107,76561197993298262
108,76561197993575836
109,76561197993584892
110,76561197993663931
111,76561197993699405
112,76561197994243415
113,76561197995765936
114,76561197996410123
115,76561198000833175
116,76561198004578891
117,76561198010924654
118,76561198034070553
119,76561198034841259
120,76561198047477231
121,76561198065353680
122,76561198117421181
123,76561198118593149
124,76561198121663263
125,76561198123820453
126,76561198124870621
127,76561198124881662
128,76561198124941980
129,76561198132555164
130,76561198154640221
131,76561198179043149
132,76561197960790214
133,76561197961134199
134,76561197963717527
135,76561197965544250
136,76561197969337442
137,76561197969571711
138,76561197970543835
139,76561197970649626
140,76561197971252641
141,76561197971769913
142,76561197971912786
143,76561197972394153
144,76561197972794837
145,76561197973785169
146,76561197974553664
147,76561197975467956
148,76561197979967534
149,76561197984731125
150,76561197985791269
151,76561197986484589
152,76561197986992066
153,76561197988310849
154,76561197989591609
155,76561197991019388
156,76561197993137938
157,76561197993208069
158,76561197995117545
159,76561197995868608
160,76561197997115692
161,76561197997512505
162,76561197999356391
163,76561198000147144
164,76561198000263381
165,76561198000516254
166,76561198000768714
167,76561198000769664
168,76561198002687861
169,76561198006992251
170,76561198006992894
171,76561198008344011
172,76561198008435343
173,76561198008926367
174,76561198008930264
175,76561198009074619
176,76561198009799253
177,76561198010097787
178,76561198010206785
179,76561198010270669
180,76561198010304755
181,76561198010656805
182,76561198012158452
183,76561198013027593
184,76561198013193179
185,76561198013356885
186,76561198013776359
187,76561198015020614
188,76561198018520126
189,76561198028116681
190,76561198031024961
191,76561198035549158
192,76561198040587238
193,76561198042797630
194,76561198043060802
195,76561198043848333
196,76561198045134878
197,76561198045193152
198,76561198046307711
199,76561198050681389
200,76561198071048938
201,76561198089848718
202,76561198127855668
203,76561198129068564
204,76561197962686433
205,76561197962950884
206,76561197965867887
207,76561197966538446
208,76561197967179926
209,76561197967555181
210,76561197969598525
211,76561197970528615
212,76561197970839547
213,76561197970881980
214,76561197971295596
215,76561197971301116
216,76561197971331462
217,76561197974553664
218,76561197974820031
219,76561197980269841
220,76561197989331811
221,76561197990409977
222,76561197990765301
223,76561197991766029
224,76561197992113995
225,76561197993126950
226,76561197993699405
227,76561197995146702
228,76561197995237206
229,76561197995243884
230,76561197995351441
231,76561197995867001
232,76561197996146702
233,76561197996280805
234,76561197996635144
235,76561197997576711
236,76561197999025659
237,76561197999686613
238,76561197999713092
239,76561198002739522
240,76561198003184690
241,76561198003219509
242,76561198003978795
243,76561198004581072
244,76561198004986376
245,76561198004998658
246,76561198006259400
247,76561198006408138
248,76561198007665607
249,76561198009638260
250,76561198010633407
251,76561198016857063
252,76561198016938959
253,76561198017485977
254,76561198023019859
255,76561198024924137
256,76561198025028668
257,76561198025201423
258,76561198051804717
259,76561198061753808
260,76561198143659260
261,76561198151308817
262,76561197965747336
263,76561197966617614
264,76561197970617521
265,76561197972319645
266,76561197972612883
267,76561197972643309
268,76561197974553664
269,76561197978155418
270,76561197979952519
271,76561197982175003
272,76561197984396313
273,76561197984545920
274,76561197988423193
275,76561197991237803
276,76561197991809765
277,76561197995186481
278,76561197997726888
279,76561198000392988
280,76561198002591113
281,76561198005100992
282,76561198010515958
283,76561198010771106
284,76561198013323234
285,76561198029573935
286,76561198033992294
287,76561198040539986
288,76561198040709527
289,76561198040770424
290,76561198041761758
291,76561198043024933
292,76561198049105820
293,76561198050897477
294,76561198051397915
295,76561198052318869
296,76561198059058788
297,76561198066858661
298,76561198071462829
299,76561198083102917
300,76561198089217159
301,76561198090879220
302,76561198103491846
303,76561198115522645
304,76561198133919335
305,76561198159162573
306,76561198162715977
307,76561198179660947
308,76561198188325369
309,76561198204730756
310,76561198211173304
311,76561198255915636
312,76561197971252641
313,76561197971255561
314,76561197974553664
315,76561197997115692
316,76561198011336996
317,76561198032371465
318,76561198035204727
319,76561198070166383
320,76561198076865604
321,76561198082368770
322,76561198093054779
323,76561198096876421
324,76561198112059440
325,76561198121206482
326,76561198122221274
327,76561198122999796
328,76561198170676698
329,76561198172823057
330,76561198258312373
331,76561198302610002
332,76561197963876634
333,76561197966085851
334,76561197972509749
335,76561197974553664
336,76561197976855573
337,76561197978441108
338,76561197979975870
339,76561197980564258
340,76561197982933050
341,76561197992466001
342,76561197993298262
343,76561197993465915
344,76561197993699405
345,76561197996410123
346,76561198006793737
347,76561198010125214
348,76561198010901339
349,76561198028800797
350,76561198035337396
351,76561198036466697
352,76561198045116391
353,76561198057490360
354,76561198092116265
355,76561198092975386
356,76561198439836794
357,76561197963777145
358,76561197964050543
359,76561197964853729
360,76561197967750209
361,76561197971204377
362,76561197974553664
363,76561197977377491
364,76561197978431979
365,76561197983379715
366,76561197983979368
367,76561197986108788
368,76561197986319151
369,76561197988292162
370,76561197993465915
371,76561197996127468
372,76561197996593621
373,76561197996889555
374,76561198003517719
375,76561198004062126
376,76561198011892926
377,76561198013648315
378,76561198033323586
379,76561198035337396
380,76561198036466697
381,76561198040969719
382,76561198044193013
383,76561198071555984
384,76561198092975386
385,76561198439836794
386,76561197960869361
387,76561197960869554
388,76561197961325601
389,76561197961501631
390,76561197961758746
391,76561197961886330
392,76561197963593716
393,76561197963596452
394,76561197963600137
395,76561197963876634
396,76561197972100809
397,76561197972349712
398,76561197972760387
399,76561197973945144
400,76561197974251928
401,76561197974553664
402,76561197974932685
403,76561197975178084
404,76561197978379886
405,76561197978431979
406,76561197979916129
407,76561197982933050
408,76561197987684407
409,76561197988127249
410,76561197990924292
411,76561197991610157
412,76561197992441267
413,76561197993233344
414,76561197993237575
415,76561197993298262
416,76561197993699405
417,76561197993757326
418,76561197994134019
419,76561197994393049
420,76561197994926311
421,76561197996410123
422,76561198004243334
423,76561198004783253
424,76561198009458876
425,76561198011337985
426,76561198011550456
427,76561198019872149
428,76561198027873163
429,76561198031675009
430,76561198033723459
431,76561198034070553
432,76561198034841259
433,76561198037155000
434,76561198037923982
435,76561198038753769
436,76561198047300633
437,76561198047521802
438,76561198054482377
439,76561198057490360
440,76561198067708838
441,76561198118548472
442,76561198124870621
443,76561198125615357
444,76561198132259778
445,76561198132555164
446,76561198216555375
447,76561198318521649
448,76561197960415055
449,76561197960436387
450,76561197960437566
451,76561197960679049
452,76561197960862982
453,76561197960869554
454,76561197961325601
455,76561197961590338
456,76561197961631466
457,76561197961758746
458,76561197962074755
459,76561197962307512
460,76561197963435267
461,76561197963547832
462,76561197963775787
463,76561197963876634
464,76561197964080619
465,76561197964579993
466,76561197964596354
467,76561197965006142
468,76561197965095406
469,76561197965466314
470,76561197965905515
471,76561197966199403
472,76561197966363896
473,76561197966390237
474,76561197966514441
475,76561197966930773
476,76561197967162400
477,76561197967407671
478,76561197967658060
479,76561197968181020
480,76561197968251107
481,76561197968521624
482,76561197968617658
483,76561197968695870
484,76561197969205020
485,76561197969278601
486,76561197969481561
487,76561197970175594
488,76561197971019985
489,76561197971039642
490,76561197971171988
491,76561197971256058
492,76561197971261660
493,76561197971368404
494,76561197971433052
495,76561197971474379
496,76561197971907401
497,76561197972022944
498,76561197972095087
499,76561197972100809
500,76561197972302598
501,76561197973769251
502,76561197973783957
503,76561197974553664
504,76561197974814315
505,76561197974932685
506,76561197975178084
507,76561197975315062
508,76561197975384035
509,76561197975466166
510,76561197976532879
511,76561197976584211
512,76561197977134559
513,76561197977669945
514,76561197978155021
515,76561197978431979
516,76561197978442182
517,76561197979837138
518,76561197979937247
519,76561197979975870
520,76561197980088168
521,76561197980330043
522,76561197980654010
523,76561197980969303
524,76561197981085757
525,76561197981437451
526,76561197981483009
527,76561197982336865
528,76561197984429796
529,76561197984934920
530,76561197986460435
531,76561197986845386
532,76561197987684407
533,76561197988638476
534,76561197988863492
535,76561197988907419
536,76561197988914024
537,76561197989176660
538,76561197990041197
539,76561197990186861
540,76561197990708225
541,76561197991959180
542,76561197992441267
543,76561197992559127
544,76561197992570346
545,76561197992804523
546,76561197993015714
547,76561197993104651
548,76561197993229270
549,76561197993237575
550,76561197993253734
551,76561197993298262
552,76561197993403276
553,76561197993567839
554,76561197993699405
555,76561197993757326
556,76561197993844288
557,76561197993977423
558,76561197994456225
559,76561197994526286
560,76561197994609974
561,76561197994701670
562,76561197994909519
563,76561197995192673
564,76561197995240647
565,76561197995312679
566,76561197995651567
567,76561197995985339
568,76561197996410123
569,76561197996809844
570,76561197998078119
571,76561197998343909
572,76561197998388534
573,76561197999003337
574,76561197999348660
575,76561197999414909
576,76561197999603407
577,76561198001443962
578,76561198002021983
579,76561198002377337
580,76561198002920636
581,76561198002923124
582,76561198003126352
583,76561198004313178
584,76561198004659901
585,76561198004783253
586,76561198005010969
587,76561198005147023
588,76561198006453172
589,76561198006481463
590,76561198006484938
591,76561198006573244
592,76561198007525244
593,76561198007985985
594,76561198009357713
595,76561198010171119
596,76561198010277653
597,76561198010592608
598,76561198011133401
599,76561198011313821
600,76561198011909728
601,76561198014127417
602,76561198014941363
603,76561198014989123
604,76561198016251993
605,76561198017084461
606,76561198017614669
607,76561198019140444
608,76561198019903468
609,76561198020168930
610,76561198023604266
611,76561198025065402
612,76561198025705428
613,76561198026424412
614,76561198027721785
615,76561198027782034
616,76561198027876425
617,76561198028425690
618,76561198029111554
619,76561198029399202
620,76561198030243218
621,76561198033628890
622,76561198033723459
623,76561198034070553
624,76561198034841259
625,76561198035890272
626,76561198038738811
627,76561198040362439
628,76561198040797250
629,76561198040879435
630,76561198040972060
631,76561198041188010
632,76561198041764362
633,76561198042419609
634,76561198043113780
635,76561198044012907
636,76561198045077610
637,76561198045127507
638,76561198045610379
639,76561198046277314
640,76561198046294591
641,76561198046527232
642,76561198048753924
643,76561198049459169
644,76561198051301427
645,76561198051706376
646,76561198055639575
647,76561198058180867
648,76561198063410316
649,76561198063492536
650,76561198067010623
651,76561198072803618
652,76561198074469870
653,76561198078725581
654,76561198085163853
655,76561198086342906
656,76561198089321854
657,76561198100974606
658,76561198109086153
659,76561198114030805
660,76561198116131491
661,76561198121295704
662,76561198124870621
663,76561198132555164
664,76561198133937122
665,76561198136779786
666,76561198143851758
667,76561198154051351
668,76561198193544991
669,76561198259598919
670,76561198354874412
671,76561198391459611
672,76561197960541957
673,76561197960557895
674,76561197961554469
675,76561197961696542
676,76561197963145354
677,76561197963600137
678,76561197964018305
679,76561197964701128
680,76561197965421285
681,76561197966217982
682,76561197966538332
683,76561197966820404
684,76561197966822642
685,76561197967742006
686,76561197967807725
687,76561197968761347
688,76561197968902334
689,76561197969248341
690,76561197969800164
691,76561197970483378
692,76561197970553323
693,76561197971326033
694,76561197971719783
695,76561197971980579
696,76561197971991044
697,76561197972165279
698,76561197972696684
699,76561197972793297
700,76561197973031288
701,76561197973700013
702,76561197974289575
703,76561197974525602
704,76561197974553664
705,76561197974699950
706,76561197974946182
707,76561197975449205
708,76561197978172785
709,76561197978464997
710,76561197978747638
711,76561197978926957
712,76561197979422976
