Id,Label
10,Counter-Strike
20,Team Fortress Classic
30,Day of Defeat
40,Deathmatch Classic
50,Half-Life: Opposing Force
60,Ricochet
70,Half-Life
130,Half-Life: Blue Shift
220,Half-Life 2
240,Counter-Strike: Source
320,Half-Life 2: Deathmatch
340,Half-Life 2: Lost Coast
300,Day of Defeat: Source
1520,DEFCON
360,Half-Life Deathmatch: Source
380,Half-Life 2: Episode One
400,Portal
420,Half-Life 2: Episode Two
17140,Hinterland
500,Left 4 Dead
15620,"Warhammer 40,000: Dawn of War II"
550,Left 4 Dead 2
24960,Battlefield: Bad Company 2
4920,Natural Selection 2
42890,Sword of the Stars Complete Collection
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl
4520,Full Spectrum Warrior
4530,Full Spectrum Warrior: Ten Hammers
4540,Titan Quest
4550,Titan Quest: Immortal Throne
4560,Company of Heroes - Legacy Edition
4570,"Warhammer 40,000: Dawn of War - Game of the Year Edition"
4580,"Warhammer 40,000: Dawn of War - Dark Crusade"
9310,"Warhammer 40,000: Dawn of War - Winter Assault"
9340,Company of Heroes: Opposing Fronts
9400,Juiced 2: Hot Import Nights
9450,"Warhammer 40,000: Dawn of War - Soulstorm"
9460,Frontlines: Fuel of War
9480,Saints Row 2
20500,Red Faction: Guerrilla Steam Edition
20530,Red Faction
20540,Company of Heroes: Tales of Valor
20550,Red Faction II
20570,"Warhammer 40,000: Dawn of War II - Chaos Rising"
43100,World of Zoo
43110,Metro 2033
228200,Company of Heroes 
475150,Titan Quest Anniversary Edition
667720,Red Faction Guerrilla Re-Mars-tered
39680,The Guild II: Renaissance
42910,Magicka
65800,Dungeon Defenders
42990,Sword of the Stars II: Enhanced Edition
205790,Dota 2 Test
203770,Crusader Kings II
209080,Guns of Icarus Online
730,Counter-Strike: Global Offensive
212680,FTL: Faster Than Light
34030,Total War: NAPOLEON - Definitive Edition
200510,XCOM: Enemy Unknown
219640,Chivalry: Medieval Warfare
11020,TrackMania Nations Forever
47410,Stronghold Kingdoms
238960,Path of Exile
233860,Kenshi
242920,Banished
244850,Space Engineers
252490,Rust
700580,Rust - Staging Branch
252950,Rocket League
263860,SPACECOM
269990,Infinite Space III: Sea of Stars
271240,Offworld Trading Company
222880,Insurgency
286160,Tabletop Simulator
290300,Rebel Galaxy
294100,RimWorld
320340,Cosmonautica
323190,Frostpunk
324260,VoidExpanse
330460,Celestial Command
274940,Depth
310380,Fractured Space
333930,Dirty Bomb
335830,Distant Star: Revenant Fleet
346110,ARK: Survival Evolved
407530,ARK: Survival Of The Fittest
352430,Farlight Explorers
344760,Reign Of Kings
363680,Battlefleet Gothic: Armada
365360,Battle Brothers
243970,"Invisible, Inc."
377160,Fallout 4
392110,Endless Space 2
394510,HELLDIVERS™
402710,Osiris: New Dawn
403190,Planetbase
418180,Tempest
420290,Blackwake
444560,Agent Origins: Escape
365590,Tom Clancy's The Division
524440,Tom Clancy's The Division PTS
449140,Istrolid
454540,LuckCatchers
402570,Atlas Reactor
521790,Ancient Frontier
8500,EVE Online
574760,Starship Theory
588430,Fallout Shelter
446790,Diluvion
503940,Railway Empire
620590,Ancestors Legacy
834910,ATLAS
440900,Conan Exiles
931180,Conan Exiles - Testlive Client
905370,Conqueror's Blade
304390,For Honor
654310,For Honor - Public Test
10,Counter-Strike
80,Counter-Strike: Condition Zero
100,Counter-Strike: Condition Zero Deleted Scenes
240,Counter-Strike: Source
2600,Vampire: The Masquerade - Bloodlines
220,Half-Life 2
320,Half-Life 2: Deathmatch
340,Half-Life 2: Lost Coast
360,Half-Life Deathmatch: Source
380,Half-Life 2: Episode One
400,Portal
420,Half-Life 2: Episode Two
500,Left 4 Dead
22300,Fallout 3
38400,Fallout
38410,Fallout 2
550,Left 4 Dead 2
24980,Mass Effect 2
10680,Aliens vs. Predator
8930,Sid Meier's Civilization V
22380,Fallout: New Vegas
105600,Terraria
28050,Deus Ex: Human Revolution
57690,Tropico 4
72850,The Elder Scrolls V: Skyrim
201280,Deus Ex: Human Revolution - The Missing Link
104900,ORION: Prelude
730,Counter-Strike: Global Offensive
212680,FTL: Faster Than Light
201790,Orcs Must Die! 2
228280,Baldur's Gate: Enhanced Edition
203160,Tomb Raider
233700,Sword of the Stars: The Pit
113020,Monaco
234650,Shadowrun Returns
233980,Unepic
257350,Baldur's Gate II: Enhanced Edition
271590,Grand Theft Auto V
290930,Half-Life 2: Update
321800,Icewind Dale: Enhanced Edition
365720,Skyrim Script Extender (SKSE)
377160,Fallout 4
404410,Endless Sky
289070,Sid Meier's Civilization VI
10,Counter-Strike
80,Counter-Strike: Condition Zero
100,Counter-Strike: Condition Zero Deleted Scenes
240,Counter-Strike: Source
8930,Sid Meier's Civilization V
72850,The Elder Scrolls V: Skyrim
205790,Dota 2 Test
204360,Castle Crashers
214510,LEGO® The Lord of the Rings™
36630,Rusty Hearts
212160,Vindictus
212370,Arctic Combat
218230,PlanetSide 2
238960,Path of Exile
240380,Solstice Arena
209160,Call of Duty: Ghosts
209170,Call of Duty: Ghosts - Multiplayer
255480,NBA 2K14
285160,LEGO® The Hobbit™
295110,Just Survive
362300,Just Survive Test Server
433850,H1Z1
439700,H1Z1: Test Server
45760,Ultra Street Fighter IV
334230,Town of Salem
377160,Fallout 4
254860,Lords of the Realm III
254920,Lords of the Realm
397350,Lords of the Realm II
404040,Lords of Magic: Special Edition
489830,The Elder Scrolls V: Skyrim Special Edition
220,Half-Life 2
240,Counter-Strike: Source
320,Half-Life 2: Deathmatch
340,Half-Life 2: Lost Coast
2400,The Ship
2430,The Ship Tutorial
4000,Garry's Mod
6310,The Longest Journey
360,Half-Life Deathmatch: Source
380,Half-Life 2: Episode One
400,Portal
420,Half-Life 2: Episode Two
11450,Overlord
7940,Call of Duty 4: Modern Warfare
12210,Grand Theft Auto IV
1250,Killing Floor
35420,Killing Floor Mod: Defence Alliance 2
37400,"Time Gentlemen, Please!"
37420,"Ben There, Dan That!"
33600,Broken Sword 2 - the Smoking Mirror: Remastered
34030,Total War: NAPOLEON - Definitive Edition
24960,Battlefield: Bad Company 2
33900,Arma 2
33930,Arma 2: Operation Arrowhead
219540,Arma 2: Operation Arrowhead Beta (Obsolete)
47810,Dragon Age: Origins - Ultimate Edition
620,Portal 2
105600,Terraria
41070,Serious Sam 3: BFE
564310,Serious Sam Fusion 2017 (beta)
205790,Dota 2 Test
49470,Magic: The Gathering — Duels of the Planeswalkers 2012
63380,Sniper Elite V2
4920,Natural Selection 2
3700,Sniper Elite
202970,Call of Duty: Black Ops II
202990,Call of Duty: Black Ops II - Multiplayer
212910,Call of Duty: Black Ops II - Zombies
201790,Orcs Must Die! 2
231200,Kentucky Route Zero
221380,Age of Empires II: HD Edition
109600,Neverwinter
218230,PlanetSide 2
224580,Arma 2: DayZ Mod
210770,Sanctum 2
222480,Resident Evil Revelations / Biohazard Revelations
231430,Company of Heroes 2
242920,Banished
248390,Craft The World
251570,7 Days to Die
252490,Rust
700580,Rust - Staging Branch
42910,Magicka
8930,Sid Meier's Civilization V
550,Left 4 Dead 2
271590,Grand Theft Auto V
294100,RimWorld
227940,Heroes & Generals
232890,Stronghold Crusader 2
330830,Tales from the Borderlands
255710,Cities: Skylines
359870,FINAL FANTASY X/X-2 HD Remaster
367520,Hollow Knight
236870,HITMAN™
403970,The Dwarves
98400,Hard Reset
407810,Hard Reset Redux
413150,Stardew Valley
427520,Factorio
383150,Dead Island Definitive Edition
289070,Sid Meier's Civilization VI
569480,Kingdoms and Castles
435150,Divinity: Original Sin 2
220,Half-Life 2
240,Counter-Strike: Source
320,Half-Life 2: Deathmatch
340,Half-Life 2: Lost Coast
20,Team Fortress Classic
70,Half-Life
50,Half-Life: Opposing Force
130,Half-Life: Blue Shift
280,Half-Life: Source
360,Half-Life Deathmatch: Source
380,Half-Life 2: Episode One
3830,Psychonauts
4000,Garry's Mod
3480,Peggle Deluxe
6910,Deus Ex: Game of the Year Edition
6920,Deus Ex: Invisible War
6310,The Longest Journey
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl
400,Portal
420,Half-Life 2: Episode Two
22120,Penumbra: Black Plague
22140,Penumbra: Requiem
22180,Penumbra: Overture
32360,The Secret of Monkey Island: Special Edition
11450,Overlord
12710,Overlord: Raising Hell
12810,Overlord II
550,Left 4 Dead 2
13520,Far Cry
19900,Far Cry 2
46750,Dark Fall: Lost Souls
31280,Poker Night at the Inventory
57300,Amnesia: The Dark Descent
8980,Borderlands
22380,Fallout: New Vegas
18000,"On the Rain-Slick Precipice of Darkness, Episode One"
18020,"On the Rain-Slick Precipice of Darkness, Episode Two"
70000,Dino D-Day
620,Portal 2
1250,Killing Floor
12900,Audiosurf
15500,The Wonderful End of the World
15520,AaAaAA!!! - A Reckless Disregard for Gravity
15540,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby)
18500,Defense Grid: The Awakening
26500,Cogs
35420,Killing Floor Mod: Defence Alliance 2
35460,The Ball
38700,Toki Tori
38720,RUSH
40800,Super Meat Boy
63700,BIT.TRIP BEAT
46480,Still Life
46490,Still Life 2
46550,Post Mortem
98800,Dungeons of Dredmor
109200,Legend of Fae
33460,From Dust
203810,Dear Esther
520720,Dear Esther: Landmark Edition
209830,Lone Survivor: The Director's Cut
212680,FTL: Faster Than Light
205790,Dota 2 Test
219640,Chivalry: Medieval Warfare
223470,POSTAL 2
2280,The Ultimate DOOM
2290,Final DOOM
2300,DOOM II: Hell on Earth
9160,Master Levels for DOOM II
223710,Cry of Fear
233720,Surgeon Simulator
234190,Receiver
219740,Don't Starve
322330,Don't Starve Together
233230,Kairo
234650,Shadowrun Returns
239030,"Papers, Please"
249630,Delver
252610,Death Road to Canada
245390,"I Have No Mouth, and I Must Scream"
259680,Tales of Maj'Eyal
221910,The Stanley Parable
211820,Starbound
367540,Starbound - Unstable
269790,DreadOut
272060,Serena
244430,realMyst: Masterpiece Edition
284390,The Last Door - Collector's Edition
