game_title	steam_url
Counter-Strike: Global Offensive	https://store.steampowered.com/app/730/CounterStrike_Global_Offensive/?snr=1_7_7_230_150_1
MONSTER HUNTER: WORLD	https://store.steampowered.com/app/582010/MONSTER_HUNTER_WORLD/?snr=1_7_7_230_150_1
Path of Exile	https://store.steampowered.com/app/238960/Path_of_Exile/?snr=1_7_7_230_150_1
Insurgency: Sandstorm	https://store.steampowered.com/app/581320/Insurgency_Sandstorm/?snr=1_7_7_230_150_1
Warframe	https://store.steampowered.com/app/230410/Warframe/?snr=1_7_7_230_150_1
Divinity: Original Sin 2 - Definitive Edition	https://store.steampowered.com/app/435150/Divinity_Original_Sin_2__Definitive_Edition/?snr=1_7_7_230_150_1
Assassin's Creed® Odyssey	https://store.steampowered.com/app/812140/Assassins_Creed_Odyssey/?snr=1_7_7_230_150_1
Rocket League®	https://store.steampowered.com/app/252950/Rocket_League/?snr=1_7_7_230_150_1
Tom Clancy's Rainbow Six® Siege	https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/?snr=1_7_7_230_150_1
Grand Theft Auto V	https://store.steampowered.com/app/271590/Grand_Theft_Auto_V/?snr=1_7_7_230_150_1
Team Fortress 2	https://store.steampowered.com/app/440/Team_Fortress_2/?snr=1_7_7_230_150_1
PLAYERUNKNOWN'S BATTLEGROUNDS	https://store.steampowered.com/app/578080/PLAYERUNKNOWNS_BATTLEGROUNDS/?snr=1_7_7_230_150_1
Rust	https://store.steampowered.com/app/252490/Rust/?snr=1_7_7_230_150_1
Stardew Valley	https://store.steampowered.com/app/413150/Stardew_Valley/?snr=1_7_7_230_150_1
Warhammer: Vermintide 2	https://store.steampowered.com/app/552500/Warhammer_Vermintide_2/?snr=1_7_7_230_150_1
War Thunder	https://store.steampowered.com/app/236390/War_Thunder/?snr=1_7_7_230_150_1
Total War: WARHAMMER II	https://store.steampowered.com/app/594570/Total_War_WARHAMMER_II/?snr=1_7_7_230_150_1
Kingdom Come: Deliverance	https://store.steampowered.com/app/379430/Kingdom_Come_Deliverance/?snr=1_7_7_230_150_1
ATLAS	https://store.steampowered.com/app/834910/ATLAS/?snr=1_7_7_230_150_1
Shadow of the Tomb Raider	https://store.steampowered.com/app/750920/Shadow_of_the_Tomb_Raider/?snr=1_7_7_230_150_1
The Elder Scrolls V: Skyrim Special Edition	https://store.steampowered.com/app/489830/The_Elder_Scrolls_V_Skyrim_Special_Edition/?snr=1_7_7_230_150_1
Black Desert Online	https://store.steampowered.com/app/582660/Black_Desert_Online/?snr=1_7_7_230_150_1
The Witcher® 3: Wild Hunt	https://store.steampowered.com/app/292030/The_Witcher_3_Wild_Hunt/?snr=1_7_7_230_150_1
Slime Rancher	https://store.steampowered.com/app/433340/Slime_Rancher/?snr=1_7_7_230_150_1
Dead by Daylight	https://store.steampowered.com/app/381210/Dead_by_Daylight/?snr=1_7_7_230_150_1
The Forest	https://store.steampowered.com/app/242760/The_Forest/?snr=1_7_7_230_150_2
Beat Saber	https://store.steampowered.com/app/620980/Beat_Saber/?snr=1_7_7_230_150_2
DRAGON QUEST® XI: Echoes of an Elusive Age™ - Digital Edition of Light	https://store.steampowered.com/app/742120/DRAGON_QUEST_XI_Echoes_of_an_Elusive_Age__Digital_Edition_of_Light/?snr=1_7_7_230_150_2
Tom Clancy's Ghost Recon® Wildlands	https://store.steampowered.com/app/460930/Tom_Clancys_Ghost_Recon_Wildlands/?snr=1_7_7_230_150_2
Raft	https://store.steampowered.com/app/648800/Raft/?snr=1_7_7_230_150_2
Tabletop Simulator	https://store.steampowered.com/app/286160/Tabletop_Simulator/?snr=1_7_7_230_150_2
Far Cry® 5	https://store.steampowered.com/app/552520/Far_Cry_5/?snr=1_7_7_230_150_2
Dota 2	https://store.steampowered.com/app/570/Dota_2/?snr=1_7_7_230_150_2
Subnautica	https://store.steampowered.com/app/264710/Subnautica/?snr=1_7_7_230_150_2
HITMAN™ 2	https://store.steampowered.com/app/863550/HITMAN_2/?snr=1_7_7_230_150_2
SMITE®	https://store.steampowered.com/app/386360/SMITE/?snr=1_7_7_230_150_2
Deep Rock Galactic	https://store.steampowered.com/app/548430/Deep_Rock_Galactic/?snr=1_7_7_230_150_2
Middle-earth™: Shadow of War™	https://store.steampowered.com/app/356190/Middleearth_Shadow_of_War/?snr=1_7_7_230_150_2
Garry's Mod	https://store.steampowered.com/app/4000/Garrys_Mod/?snr=1_7_7_230_150_2
Frostpunk	https://store.steampowered.com/app/323190/Frostpunk/?snr=1_7_7_230_150_2
Jurassic World Evolution	https://store.steampowered.com/app/648350/Jurassic_World_Evolution/?snr=1_7_7_230_150_2
ARK: Survival Evolved	https://store.steampowered.com/app/346110/ARK_Survival_Evolved/?snr=1_7_7_230_150_2
Overcooked! 2	https://store.steampowered.com/app/728880/Overcooked_2/?snr=1_7_7_230_150_2
No Man's Sky	https://store.steampowered.com/app/275850/No_Mans_Sky/?snr=1_7_7_230_150_2
Sid Meier’s Civilization® VI	https://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI/?snr=1_7_7_230_150_2
RimWorld	https://store.steampowered.com/app/294100/RimWorld/?snr=1_7_7_230_150_2
Fallout 4	https://store.steampowered.com/app/377160/Fallout_4/?snr=1_7_7_230_150_2
The Elder Scrolls V: Skyrim VR	https://store.steampowered.com/app/611670/The_Elder_Scrolls_V_Skyrim_VR/?snr=1_7_7_230_150_2
